iter	Passed	Remaining
697	7905	3420
698	7915	3408
699	7928	3397
700	7938	3385
701	7947	3373
702	7961	3363
703	7972	3352
704	7984	3341
705	7994	3329
706	8004	3317
707	8019	3307
708	8028	3295
709	8039	3283
710	8050	3272
711	8059	3259
712	8069	3248
713	8079	3236
714	8090	3224
715	8100	3212
716	8110	3201
717	8119	3189
718	8129	3177
719	8141	3166
720	8152	3154
721	8163	3143
722	8173	3131
723	8184	3120
724	8195	3108
725	8206	3097
726	8217	3085
727	8228	3074
728	8239	3062
729	8249	3051
730	8261	3040
731	8273	3028
732	8282	3017
733	8293	3005
734	8303	2993
735	8328	2987
736	8341	2976
737	8355	2966
738	8366	2954
739	8381	2944
740	8392	2933
741	8407	2923
742	8426	2914
743	8436	2902
744	8447	2891
745	8455	2878
746	8465	2867
747	8476	2855
748	8484	2843
749	8492	2830
750	8503	2819
751	8512	2807
752	8523	2795
753	8537	2785
754	8547	2773
755	8559	2762
756	8569	2750
757	8578	2738
758	8587	2726
759	8598	2715
760	8611	2704
761	8623	2693
762	8634	2681
763	8645	2670
764	8657	2659
765	8668	2647
766	8676	2635
767	8690	2625
768	8702	2614
769	8714	2603
770	8725	2591
771	8744	2582
772	8753	2570
773	8762	2558
774	8773	2547
775	8785	2535
776	8794	2524
777	8804	2512
778	8814	2500
779	8826	2489
780	8836	2477
781	8845	2465
782	8855	2454
783	8870	2443
784	8882	2432
785	8893	2421
786	8902	2409
787	8912	2397
788	8924	2386
789	8933	2374
790	8945	2363
791	8955	2351
792	8965	2340
793	8977	2329
794	8988	2317
795	9000	2306
796	9011	2295
797	9020	2283
798	9032	2272
799	9042	2260
800	9053	2249
801	9068	2238
802	9079	2227
803	9092	2216
804	9102	2204
805	9114	2193
806	9125	2182
807	9135	2170
808	9145	2159
809	9155	2147
810	9165	2135
811	9171	2123
812	9180	2111
813	9194	2100
814	9203	2089
815	9212	2077
816	9222	2065
817	9234	2054
818	9244	2043
819	9252	2030
820	9261	2019
821	9274	2008
822	9283	1996
823	9293	1984
824	9305	1973
825	9348	1969
826	9368	1959
827	9381	1948
828	9392	1937
829	9401	1925
830	9417	1915
831	9427	1903
832	9441	1892
833	9451	1881
834	9463	1870
835	9473	1858
836	9483	1846
837	9493	1835
838	9503	1823
839	9514	1812
840	9523	1800
841	9536	1789
842	9546	1777
843	9556	1766
844	9569	1755
845	9579	1743
846	9588	1732
847	9599	1720
848	9609	1709
849	9622	1698
850	9631	1686
851	9643	1675
852	9656	1664
853	9665	1652
854	9676	1641
855	9687	1629
856	9698	1618
857	9707	1606
858	9718	1595
859	9730	1584
860	9740	1572
861	9750	1560
862	9761	1549
863	9773	1538
864	9784	1527
865	9797	1515
866	9811	1505
867	9820	1493
868	9830	1481
869	9839	1470
870	9850	1458
871	9863	1447
872	9873	1436
873	9883	1424
874	9895	1413
875	9915	1403
876	9925	1392
877	9938	1381
878	9947	1369
879	9956	1357
880	9968	1346
881	9979	1335
882	9988	1323
883	9999	1312
884	10012	1301
885	10022	1289
886	10032	1278
887	10044	1266
888	10056	1255
889	10065	1244
890	10074	1232
891	10086	1221
892	10101	1210
893	10111	1198
894	10123	1187
895	10137	1176
896	10145	1164
897	10155	1153
898	10167	1142
899	10177	1130
900	10188	1119
901	10197	1107
902	10207	1096
903	10218	1085
904	10229	1073
905	10241	1062
906	10252	1051
907	10265	1040
908	10277	1028
909	10286	1017
910	10296	1005
911	10307	994
912	10317	983
913	10326	971
914	10335	960
915	10344	948
916	10355	937
917	10372	926
918	10391	915
919	10400	904
920	10411	893
921	10420	881
922	10431	870
923	10441	858
924	10450	847
925	10459	835
926	10469	824
927	10478	812
928	10491	801
929	10503	790
930	10512	779
931	10524	767
932	10539	756
933	10546	745
934	10556	733
935	10566	722
936	10577	711
937	10588	699
938	10596	688
939	10607	677
940	10617	665
